iter	Logloss
0	0.6811307339
1	0.6726706322
2	0.6630876425
3	0.6537044795
4	0.6441833
5	0.6369996118
6	0.6281808017
7	0.6185957559
8	0.6115653328
9	0.6048698969
10	0.5990014816
11	0.5925366556
12	0.5859486971
13	0.5795451634
14	0.5748710492
15	0.5686750038
16	0.5628119265
17	0.5585018427
18	0.5548661299
19	0.5497115347
20	0.545381071
21	0.5405086663
22	0.5356657584
23	0.5323278506
24	0.5281258717
25	0.5254870451
26	0.5220538882
27	0.5193771854
28	0.5172213737
29	0.5150035353
30	0.5124888344
31	0.5099111553
32	0.5074673567
33	0.5049363191
34	0.5030355544
35	0.5004910902
36	0.4983500945
37	0.4963490339
38	0.4938934342
39	0.4916959629
40	0.4898759319
41	0.4875345485
42	0.4845578677
43	0.4829843313
44	0.481373173
45	0.4799109949
46	0.4780608639
47	0.4766004961
48	0.4750562403
49	0.4734283802
50	0.471955992
51	0.4709362033
52	0.4694837879
53	0.4682057097
54	0.4671034251
55	0.4661189172
56	0.464718808
57	0.4636051744
58	0.4620588626
59	0.4609159474
60	0.4597369658
61	0.458572625
62	0.4575208764
63	0.4562335734
64	0.4547843462
65	0.4538897145
66	0.4529903295
67	0.4517717843
68	0.4504347956
69	0.4489605489
70	0.4478661539
71	0.4467003438
72	0.445936645
73	0.4450987196
74	0.4443460436
75	0.4436146135
76	0.4427831311
77	0.4416119993
78	0.4406820785
79	0.4399974883
80	0.4389178617
81	0.4383027467
82	0.4375682276
83	0.4366940069
84	0.4358880859
85	0.4353160703
86	0.4345917818
87	0.4338768737
88	0.4334325906
89	0.4328352781
90	0.4322342379
91	0.430977239
92	0.4301710662
93	0.4293802207
94	0.4285184849
95	0.4281722479
96	0.4275622277
97	0.4269378895
98	0.4260404415
99	0.4250841422
100	0.4245629712
101	0.4238163383
102	0.4233579038
103	0.4227340046
104	0.4221405021
105	0.421476223
106	0.4205184953
107	0.4200209898
108	0.4196786195
109	0.4194021159
110	0.4188823333
111	0.4184133137
112	0.4181250977
113	0.4175074167
114	0.4171245363
115	0.4166741532
116	0.4163124148
117	0.415635581
118	0.4152331434
119	0.4148032301
120	0.4141340623
121	0.4136619342
122	0.4134566456
123	0.4130226892
124	0.4126764107
125	0.412155644
126	0.4116747723
127	0.4113241586
128	0.4107676874
129	0.4105400143
130	0.4098878793
131	0.4094498012
132	0.4091436678
133	0.4087707706
134	0.4085172473
135	0.4080467808
136	0.4076367897
137	0.4073692197
138	0.4069212178
139	0.4064324347
140	0.4059949622
141	0.4056730019
142	0.4054829303
143	0.4052789483
144	0.404718101
145	0.4044714941
146	0.4039477947
147	0.4036813404
148	0.4034899213
149	0.4030617688
150	0.4027480771
151	0.4024682326
152	0.4022050754
153	0.4019434832
154	0.4013909475
155	0.4011253041
156	0.4007621652
157	0.4005979033
158	0.4003661099
159	0.4000484343
160	0.3998416301
161	0.3997084137
162	0.3994231364
163	0.3991026906
164	0.3988666151
165	0.3986600063
166	0.39826751
167	0.3978798767
168	0.3976444254
169	0.3974094476
170	0.3971127041
171	0.3969626279
172	0.3966737111
173	0.3964267948
174	0.3962156924
175	0.3957727179
176	0.3952565927
177	0.3950243306
178	0.3948099542
179	0.3946012692
180	0.3942531342
181	0.3938210879
182	0.3936725225
183	0.3934017913
184	0.3930730479
185	0.3928108724
186	0.3926400425
187	0.3924166446
188	0.3923009685
189	0.3919371951
190	0.3913969515
191	0.3911730221
192	0.3909091448
193	0.3905063779
194	0.3902996859
195	0.3898390214
196	0.3896548645
197	0.389450651
198	0.3890325645
199	0.3888730476
200	0.3886817938
201	0.3885527643
202	0.3882896158
203	0.3880165858
204	0.3877674721
205	0.3875728582
206	0.3874461113
207	0.3870086884
208	0.3866438694
209	0.3864045742
210	0.3862256778
211	0.3860148546
212	0.3858962314
213	0.3856498732
214	0.3853130727
215	0.3851795879
216	0.3849144103
217	0.3845993825
218	0.3842200598
219	0.3840179927
220	0.3837494014
221	0.3835866085
222	0.3834335981
223	0.3829065593
224	0.3827403109
225	0.382574054
226	0.3824499832
227	0.3823379455
228	0.3821175602
229	0.381858717
230	0.3814913502
231	0.3812886671
232	0.3810234194
233	0.3808694492
234	0.3807571735
235	0.3805539152
236	0.3803075262
237	0.380101955
238	0.3798397843
239	0.3796309691
240	0.3795136552
241	0.3793742074
242	0.3792721172
243	0.3791288818
244	0.3790102626
245	0.3786572657
246	0.3784742823
247	0.3782377215
248	0.377994642
249	0.377852969
250	0.377572983
251	0.3774253646
252	0.3770837317
253	0.3769754301
254	0.3766226652
255	0.3764206074
256	0.3762352821
257	0.3760485489
258	0.375921548
259	0.3757597538
260	0.3755463187
261	0.3754235816
262	0.3752200491
263	0.3750575324
264	0.3749283077
265	0.3747501537
266	0.3746428741
267	0.3745469668
268	0.3744371563
269	0.3740904739
270	0.3739275728
271	0.3737200446
272	0.3736350866
273	0.3734885826
274	0.3732231265
275	0.3730973328
276	0.3729096821
277	0.3727907915
278	0.3726965019
279	0.3725364527
280	0.3724156837
281	0.3722049931
282	0.3720301928
283	0.3719401419
284	0.3718287446
285	0.3715720178
286	0.3714225514
287	0.3711562692
288	0.3709918257
289	0.3706521525
290	0.3705544425
291	0.3704221586
292	0.3701081814
293	0.3699565224
294	0.369816449
295	0.3695581922
296	0.369401004
297	0.3692956836
298	0.369201596
299	0.3691161503
300	0.3689743789
301	0.3688040667
302	0.3686066902
303	0.3684928254
304	0.3683700721
305	0.3681935452
306	0.3679317558
307	0.3678265154
308	0.3676835104
309	0.367606834
310	0.3674425611
311	0.3672553466
312	0.3671203862
313	0.3670039853
314	0.3667917474
315	0.366663017
316	0.3664737487
317	0.3663859362
318	0.36619384
319	0.3660572044
320	0.3659520992
321	0.3658313605
322	0.3656606404
323	0.3655082765
324	0.3652860757
325	0.3651656905
326	0.3650230772
327	0.3649031438
328	0.3647063705
329	0.3645656325
330	0.3644784911
331	0.3643388034
332	0.3642021723
333	0.3640624162
334	0.3639221268
335	0.3637683123
336	0.3636856446
337	0.3635536017
338	0.3633920612
339	0.3631931029
340	0.3630751559
341	0.3628944792
342	0.3628083451
343	0.3626166936
344	0.3625077476
345	0.3623272606
346	0.362240021
347	0.3620472064
348	0.3618837578
349	0.3616979588
350	0.3615665278
351	0.3613737092
352	0.3611899705
353	0.3611065089
354	0.360987644
355	0.3608175665
356	0.3606621585
357	0.3605542313
358	0.3604618829
359	0.3603633882
360	0.3601859889
361	0.3600512212
362	0.3596948633
363	0.3595991722
364	0.3594650619
365	0.3593748016
366	0.3592853295
367	0.3592007013
368	0.3590848106
369	0.3590099116
370	0.3588495989
371	0.3587662097
372	0.3586091748
373	0.3584344207
374	0.3583164557
375	0.3582062124
376	0.3580072627
377	0.3578583651
378	0.3576881455
379	0.3575805105
380	0.3574457239
381	0.3572136024
382	0.3570770023
383	0.3569493791
384	0.3567477252
385	0.3566538964
386	0.3565079472
387	0.3564062656
388	0.3561575615
389	0.3560540821
390	0.3559668024
391	0.3557912881
392	0.3556839515
393	0.3555201916
394	0.3553668211
395	0.3550520713
396	0.354867805
397	0.3547594539
398	0.3546407388
399	0.3545370153
400	0.3544139893
401	0.3542678065
402	0.3541164847
403	0.3539340275
404	0.3537241209
405	0.3536059722
406	0.353470989
407	0.3533137656
408	0.3531479249
409	0.3530284612
410	0.3529451059
411	0.3528568331
412	0.3527149658
413	0.3526122544
414	0.3525213967
415	0.3524190204
416	0.3523133055
417	0.3521944893
418	0.3520559934
419	0.3518744927
420	0.3517261689
421	0.3515763123
422	0.3514345122
423	0.3512682723
424	0.351201072
425	0.351074644
426	0.3509447713
427	0.3507231979
428	0.3505764319
429	0.350416269
430	0.3503138709
431	0.3502062062
432	0.3501174718
433	0.3499410866
434	0.3497942271
435	0.3496894102
436	0.3494917156
437	0.3493670591
438	0.3492736873
439	0.3490299273
440	0.348970031
441	0.3488740858
442	0.3487575117
443	0.3486363572
444	0.3484945281
445	0.3483831627
446	0.3482621816
447	0.3481481836
448	0.3479517504
449	0.347704015
450	0.3475907577
451	0.3473872129
452	0.3472623405
453	0.3471068438
454	0.3469212324
455	0.3468217423
456	0.3466239724
457	0.3465590563
458	0.3463972759
459	0.3462688135
460	0.3461721651
461	0.3460738848
462	0.3459217869
463	0.3458288291
464	0.3456605285
465	0.3454690226
466	0.3453199544
467	0.3452388516
468	0.345097968
469	0.3448980867
470	0.3447682476
471	0.3445895591
472	0.3444365301
473	0.3442830164
474	0.3441660922
475	0.3440732787
476	0.3439491678
477	0.3438546548
478	0.3437536959
479	0.3435230273
480	0.3433763886
481	0.3432710096
482	0.3431726303
483	0.3430103634
484	0.3428822836
485	0.3426926531
486	0.3424721277
487	0.3423842087
488	0.3422653038
489	0.3421912652
490	0.3420691299
491	0.341948657
492	0.3418373282
493	0.3416892323
494	0.3415117948
495	0.3414239674
496	0.3412910966
497	0.3411304926
498	0.3409436947
499	0.3407845377
500	0.3407084081
501	0.3406438721
502	0.3405266191
503	0.3404182931
504	0.3403096138
505	0.3401485772
506	0.3400309149
507	0.3398461855
508	0.3396739912
509	0.3395278591
510	0.3393696812
511	0.3392222677
512	0.3391038051
513	0.3389513823
514	0.338799371
515	0.3386647799
516	0.3385985229
517	0.3385178075
518	0.3383237238
519	0.3382302509
520	0.3380887794
521	0.3379555024
522	0.3377936667
523	0.3377077046
524	0.3375997675
525	0.3374503298
526	0.3372875556
527	0.3371408891
528	0.3369815581
529	0.3367803346
530	0.3366642865
531	0.3365738205
532	0.3364534699
533	0.3363167709
534	0.3362476592
535	0.3360805539
536	0.3359509757
537	0.3358852921
538	0.3357683953
539	0.3356120312
540	0.3355417761
541	0.3354417394
542	0.3353539474
543	0.3352595175
544	0.335125913
545	0.3349700034
546	0.3348377515
547	0.3347409014
548	0.3346324061
549	0.3345207491
550	0.3343654776
551	0.3341779555
552	0.3340362028
553	0.3339309781
554	0.3337894418
555	0.3336558693
556	0.3335775018
557	0.3334536152
558	0.333282048
559	0.3330960233
560	0.3329407331
561	0.3328609845
562	0.3327584502
563	0.3325923114
564	0.3324673406
565	0.3323276654
566	0.3321532952
567	0.3320462891
568	0.3319606842
569	0.3318048041
570	0.3317011551
571	0.3315764959
572	0.3315252507
573	0.3314594689
574	0.3312973309
575	0.3311692708
576	0.3310437028
577	0.3309224679
578	0.3308291359
579	0.3307404336
580	0.330616394
581	0.3304574386
582	0.3303032406
583	0.330195926
584	0.3301107075
585	0.3300171374
586	0.3298923413
587	0.3297385689
588	0.3295977996
589	0.3295239609
590	0.3293963376
591	0.3292317053
592	0.3291455076
593	0.3290312544
594	0.3289143668
595	0.3287671285
596	0.3286831772
597	0.3285754231
598	0.3284321903
599	0.3283299901
600	0.3281864319
601	0.3280744539
602	0.3279503924
603	0.3278637166
604	0.3277614702
605	0.3276659525
606	0.3275979625
607	0.3274452891
608	0.3273466532
609	0.3272792298
610	0.3271764696
611	0.3270388222
612	0.3269396099
613	0.3268186848
614	0.3267228368
615	0.326573247
616	0.3265015617
617	0.3263868047
618	0.3262898126
619	0.3262441944
620	0.3260914667
621	0.3259856171
622	0.3258733184
623	0.3257339359
624	0.3256688805
625	0.3255883214
626	0.3254878892
627	0.3254183154
628	0.325275438
629	0.3251317004
630	0.3250558993
631	0.3249256412
632	0.3248230354
633	0.3247252379
634	0.324589534
635	0.3244727218
636	0.3243565255
637	0.3242936158
638	0.3241943543
639	0.3240806734
640	0.3239836759
641	0.3238038891
642	0.3236880792
643	0.3235504276
644	0.3234959681
645	0.3233833307
646	0.3232402447
647	0.3231197262
648	0.3230456446
649	0.3229038686
650	0.3227677728
651	0.3226832585
652	0.3226058187
653	0.3225664923
654	0.3225163806
655	0.3224045913
656	0.3222882044
657	0.3221825296
658	0.3220647073
659	0.3219331231
